titles,rooms,areas,floors,renovations,materials,prices,addresses,lifts,securities,internets,playgrounds,sewerages,bathrooms,video_monitor,parking_spaces,air_conditions,furnitures
2-комнатная квартира на продажу,2,46.67 м²,1/3,Средний,Кирпичный,46 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,4/4,Средний,Панельный,49 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Яккатут",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,56 м²,3/5,Евроремонт,Кирпичный,73 555 у.е.,"город Ташкент, Чиланзарский район, 1-й квартал, улица Лабихавуз",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,3/4,Средний,Панельный,59 000 у.е.,"город Ташкент, Чиланзарский район, 2-й квартал",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,2/4,Евроремонт,Панельный,69 500 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Нафосат",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,3/4,Евроремонт,Панельный,66 500 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Кургантепа",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,51 м²,3/3,Авторский проект,Кирпичный,89 999 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Байкурган, улица Насаф",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,70 м²,1/4,Средний,Панельный,67 750 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Кургантепа",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
2-комнатная квартира на продажу,2,65 м²,1/4,Евроремонт,Кирпичный,225 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Мингурик, улица Тараса Шевченко",no lift,Охрана,Интернет,Детская площадка,Канализация,No bathroom,Видеонаблюдение,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,58 м²,3/9,Средний,Панельный,57 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Мингчинар",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,45 м²,4/5,Авторский проект,Панельный,46 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Уч Кахрамон",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,78 м²,5/5,Средний,Панельный,64 000 у.е.,"город Ташкент, Юнусабадский район, 17-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,95 м²,5/9,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,46.67 м²,1/3,Средний,Кирпичный,46 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,67 м²,2/9,Средний,Другое,59 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Тирсакабад, улица Шош",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,66 м²,3/4,Средний,Кирпичный,78 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Олий Химмат, улица Зиёлилар",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,60 м²,2/9,Евроремонт,Монолитный,87 500 у.е.,"город Ташкент, Мирзо-Улугбекский район, массив Буз-1, проезд Каландар",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,100 м²,4/7,Евроремонт,Кирпичный,135 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Яккатут",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,33 м²,3/4,Евроремонт,Панельный,54 500 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Мехржон",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,70 м²,6/9,Средний,Панельный,80 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Саида Барака",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,130 м²,2/8,Авторский проект,Кирпичный,315 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Фидокор",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,1/4,Евроремонт,Кирпичный,85 000 у.е.,"город Ташкент, Яккасарайский район, махаллинский сход граждан Дилбулак, улица Кушбеги",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,171 м²,4/5,Черновая отделка,Кирпичный,136 800 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Олтинтепа, улица Турт Арык",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,140 м²,4/10,Авторский проект,Кирпичный,250 000 у.е.,"город Ташкент, Яккасарайский район, махаллинский сход граждан Дамарык, улица Кичик Бешагач",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,4/4,Средний,Блочный,44 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Дилабад",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,95 м²,5/9,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,69 м²,6/9,Требует ремонта,Панельный,96 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Хамид Олимжон, проспект Мустакиллик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,80 м²,1/4,Требует ремонта,Кирпичный,300 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Мингурик, улица Тараса Шевченко",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,51 м²,3/3,Авторский проект,Кирпичный,89 999 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Байкурган, улица Насаф",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,55 м²,4/4,Требует ремонта,Панельный,55 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богиэрам",no lift,No security,No internet,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,No furniture
1-комнатная квартира на продажу,1,43 м²,3/4,Требует ремонта,Панельный,44 500 у.е.,"город Ташкент, Юнусабадский район, 6-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,51 м²,3/3,Авторский проект,Кирпичный,89 999 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Байкурган, улица Насаф",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,56 м²,4/4,Евроремонт,Панельный,63 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, массив Феруза-2",no lift,No security,Интернет,No playground,Канализация,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
4-комнатная квартира на продажу,4,86.83 м²,1/9,Евроремонт,Монолитный,91 500 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Яшнобод, улица Корасув",Лифт,No security,Интернет,Детская площадка,No sewerage,Санузел раздельный,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,60 м²,9/9,Средний,Панельный,56 500 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Мададкор",Лифт,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,Кондиционер,No furniture
3-комнатная квартира на продажу,3,62 м²,2/4,Евроремонт,Кирпичный,90 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, массив Феруза-1, улица Мирзо Улугбека",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,57 м²,4/4,Евроремонт,Другое,65 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Нилуфар",no lift,No security,No internet,Детская площадка,No sewerage,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
1-комнатная квартира на продажу,1,33.23 м²,2/3,Средний,Кирпичный,36 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,42 м²,9/12,Черновая отделка,Блочный,42 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",Лифт,Охрана,No internet,Детская площадка,Канализация,No bathroom,Видеонаблюдение,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,85 м²,1/1,Авторский проект,Кирпичный,38 000 у.е.,"Ташкентская область, Нурафшан",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,71 м²,4/4,Евроремонт,Кирпичный,85 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Катта Домбрабад, улица Наккашлык",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,42 м²,2/4,Средний,Кирпичный,62 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Хаваст",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,91 м²,4/5,Средний,Панельный,82 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Севинч",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,66 м²,12/12,Черновая отделка,Кирпичный,62 700 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Кичик Хирмантепа",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,95 м²,5/9,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,92.5 м²,33/51,Черновая отделка,Другое,340 000 у.е.,"город Ташкент, Шайхантахурский район, жилой комплекс Nest One, улица Батыра Закирова",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,75 м²,7/9,Евроремонт,Монолитный,140 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Фидокор",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,79 м²,8/9,Евроремонт,Панельный,77 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Амир Темур, 2-й проезд Бирлашган",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,65 м²,1/4,Средний,Кирпичный,78 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Банокатий, улица Абу Сулеймана Банокати",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,45 м²,1/4,Требует ремонта,Кирпичный,78 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Мирабад, улица Нукус",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,51 м²,3/3,Авторский проект,Кирпичный,89 999 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Байкурган, улица Насаф",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,No video_monitor,Парковочное место,Кондиционер,Мебель
1-комнатная квартира на продажу,1,37 м²,1/4,Средний,Панельный,56 000 у.е.,"город Ташкент, Яшнободский район, массив Ташсельмаш",no lift,No security,Интернет,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,Мебель
1-комнатная квартира на продажу,1,28 м²,2/14,Евроремонт,Монолитный,53 500 у.е.,"город Ташкент, Яшнободский район, жилой комплекс Беш чинор, улица Махтумкули",Лифт,No security,No internet,Детская площадка,No sewerage,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,1/4,Средний,Кирпичный,70 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Тракторсозлар, улица Ульяна",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,48 м²,3/4,Евроремонт,Панельный,68 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Кичик Хирмантепа",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,80 м²,4/5,Евроремонт,Панельный,90 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Султония",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,No air_condition,Мебель
1-комнатная квартира на продажу,1,33.23 м²,2/3,Средний,Кирпичный,36 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,48 м²,3/4,Евроремонт,Панельный,55 500 у.е.,"город Ташкент, Учтепинский район, 21-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
3-комнатная квартира на продажу,3,70 м²,2/4,Средний,Панельный,76 900 у.е.,"город Ташкент, Алмазарский район, махаллинский сход граждан Бустанабад",no lift,No security,Интернет,No playground,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
3-комнатная квартира на продажу,3,66 м²,4/4,Средний,Панельный,62 000 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Кухна-Чапаната",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,3/5,Авторский проект,Кирпичный,47 000 у.е.,"город Ташкент, Чиланзарский район, 1-й квартал, улица Лабихавуз",no lift,No security,Интернет,Детская площадка,Канализация,No bathroom,Видеонаблюдение,Парковочное место,Кондиционер,Мебель
4-комнатная квартира на продажу,4,70 м²,3/4,Евроремонт,Кирпичный,110 000 у.е.,"город Ташкент, Чиланзарский район, квартал Е, улица Мукими",no lift,No security,Интернет,No playground,Канализация,No bathroom,Видеонаблюдение,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,70 м²,6/9,Средний,Панельный,80 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Саида Барака",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
4-комнатная квартира на продажу,4,95 м²,5/9,Евроремонт,Панельный,80 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
1-комнатная квартира на продажу,1,28 м²,2/4,Евроремонт,Кирпичный,52 000 у.е.,"город Ташкент, Чиланзарский район, 2-й квартал",no lift,No security,Интернет,No playground,Канализация,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
3-комнатная квартира на продажу,3,72 м²,1/9,Евроремонт,Монолитный,71 999 у.е.,"город Ташкент, Учтепинский район, махаллинский сход граждан Ватан",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
2-комнатная квартира на продажу,2,50 м²,2/5,Требует ремонта,Панельный,56 500 у.е.,"город Ташкент, Юнусабадский район, 17-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,4/4,Средний,Панельный,55 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Ахилобод, улица Ниязбек",no lift,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,62 м²,2/4,Средний,Кирпичный,62 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Бегубор",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,42 м²,9/12,Черновая отделка,Блочный,42 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 1-й тупик Бахт Кули",Лифт,Охрана,No internet,Детская площадка,Канализация,No bathroom,Видеонаблюдение,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,50 м²,3/4,Евроремонт,Панельный,63 200 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Ахилобод, улица Ниязбек",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,45 м²,2/4,Евроремонт,Кирпичный,82 500 у.е.,"город Ташкент, Юнусабадский район, массив Минор, проезд Минор",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,35 м²,4/4,Евроремонт,Кирпичный,45 000 у.е.,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Подшобог, улица Буюк Ипак Йули",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,100 м²,8/9,Евроремонт,Панельный,84 000 у.е.,"город Ташкент, Яшнободский район, массив Куйлюк-Центр",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,No parking_space,Кондиционер,Мебель
4-комнатная квартира на продажу,4,94 м²,6/9,Средний,Панельный,88 000 у.е.,"город Ташкент, Сергелийский район, махаллинский сход граждан Эзгулик",Лифт,No security,Интернет,No playground,Канализация,No bathroom,No video_monitor,Парковочное место,No air_condition,No furniture
2-комнатная квартира на продажу,2,46.67 м²,1/3,Средний,Кирпичный,46 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,30 м²,4/5,Средний,Кирпичный,46 000 у.е.,"город Ташкент, Чиланзарский район, махаллинский сход граждан Дилабад",no lift,No security,No internet,No playground,Канализация,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,31 м²,3/4,Авторский проект,Кирпичный,47 000 у.е.,"город Ташкент, Чиланзарский район, 1-й квартал, улица Лабихавуз",no lift,No security,No internet,Детская площадка,Канализация,No bathroom,No video_monitor,No parking_space,Кондиционер,Мебель
2-комнатная квартира на продажу,2,58 м²,3/9,Евроремонт,Панельный,95 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Буюк Туран, проспект Амира Темура",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,72.85 м²,1/9,Средний,Кирпичный,67 000 у.е.,"город Ташкент, Янгихаётский район, махаллинский сход граждан Орият",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,Видеонаблюдение,Парковочное место,Кондиционер,Мебель
1-комнатная квартира на продажу,1,42 м²,8/9,Средний,Панельный,52 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Буюк Туран, проспект Амира Темура",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,70 м²,6/9,Средний,Панельный,80 000 у.е.,"город Ташкент, Мирабадский район, махаллинский сход граждан Айбек, улица Саида Барака",Лифт,No security,Интернет,Детская площадка,Канализация,Санузел раздельный,No video_monitor,Парковочное место,Кондиционер,Мебель
1-комнатная квартира на продажу,1,38 м²,4/4,Требует ремонта,Панельный,43 000 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Ахмад Дониш",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,38 м²,7/10,Евроремонт,Панельный,46 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богиэрам",1,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,45 м²,4/5,Евроремонт,Панельный,46 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Уч Кахрамон",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
2-комнатная квартира на продажу,2,54 м²,3/4,Требует ремонта,Панельный,59 500 у.е.,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богиэрам",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
4-комнатная квартира на продажу,4,92 м²,3/5,Средний,Панельный,92 500 у.е.,"город Ташкент, Юнусабадский район, 9-й квартал",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
1-комнатная квартира на продажу,1,33.23 м²,2/3,Средний,Кирпичный,36 000 у.е.,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",no lift,No security,No internet,No playground,No sewerage,No bathroom,No video_monitor,No parking_space,No air_condition,No furniture
